Sample : Ni
Pre-Pulse  Slope = 6.524896E-3 +/- 4.518110E-4 Intercept = 4.724213E+0 +/- 1.099336E-3 Residue = 1.595354E-8
Heat Pulse  Slope = 9.830042E-3 +/- 6.486885E-4 Intercept = 4.702760E+0 +/- 4.895692E-3 Residue = 1.983012E-8
Post-Pulse  Slope = 6.003062E-3 +/- 3.668466E-4 Intercept = 4.743320E+0 +/- 4.602201E-3 Residue = 6.346510E-9
Sample Voltage = 7.000000E-2 Sample Voltage Uncertainty = 1.000000E-2
Sample Current = 9.977000E-1 Sample Current Uncertainty = 1.000000E-4
t(s)	T(K)	dT(K)
Heat Pulse  Slope = 1.090540E-2 +/- 4.671087E-4 Intercept = 6.539800E+0 +/- 3.515712E-3 Residue = 1.023929E-8
Post-Pulse  Slope = 1.013334E-2 +/- 5.505364E-4 Intercept = 6.550225E+0 +/- 6.896449E-3 Residue = 1.422268E-8
Sample Voltage = 7.000000E-2 Sample Voltage Uncertainty = 1.000000E-2
Sample Current = 9.976800E-1 Sample Current Uncertainty = 1.000000E-4
t(s)	T(K)	dT(K)
0.000000	6.555558	0.010000
0.110006	6.556974	0.010000
0.212012	6.555705	0.010000
0.314018	6.556389	0.010000
0.417024	6.558192	0.010000
0.519030	6.561033	0.010000
0.622036	6.559227	0.010000
0.725041	6.560575	0.010000
0.827047	6.562811	0.010000
0.930053	6.563440	0.010000
1.033059	6.564661	0.010000
1.135065	6.565708	0.010000
1.238070	6.565059	0.010000
1.340076	6.567312	0.010000
1.442082	6.567048	0.010000
1.544088	6.568100	0.010000
1.647094	6.569426	0.010000
1.749100	6.570691	0.010000
1.852106	6.571914	0.010000
1.954112	6.572559	0.010000
2.056118	6.571691	0.010000
2.158123	6.574245	0.010000
2.260129	6.575602	0.010000
2.362135	6.574976	0.010000
2.464141	6.575421	0.010000
2.567147	6.576681	0.010000
2.669152	6.577250	0.010000
2.771158	6.579761	0.010000
2.874164	6.579406	0.010000
2.976170	6.579826	0.010000
3.078176	6.580931	0.010000
3.180182	6.581607	0.010000
3.282187	6.582963	0.010000
3.385193	6.582334	0.010000
3.487199	6.585091	0.010000
3.589205	6.584652	0.010000
3.691211	6.586717	0.010000
3.794217	6.586638	0.010000
3.897223	6.586062	0.010000
4.000229	6.588023	0.010000
4.102234	6.587422	0.010000
4.204240	6.589098	0.010000
4.306246	6.591515	0.010000
4.409252	6.592292	0.010000
4.511258	6.591703	0.010000
4.613264	6.592696	0.010000
4.715270	6.592491	0.010000
4.818275	6.595837	0.010000
4.920281	6.595902	0.010000
5.022287	6.593944	0.010000
5.124293	6.597809	0.010000
5.226299	6.598958	0.010000
5.328305	6.598180	0.010000
5.431311	6.601641	0.010000
5.534317	6.598520	0.010000
5.637322	6.599879	0.010000
5.740328	6.604155	0.010000
5.842334	6.604897	0.010000
5.944340	6.603670	0.010000
6.046346	6.604073	0.010000
6.148352	6.607512	0.010000
6.250357	6.606590	0.010000
6.353363	6.608959	0.010000
6.455369	6.608585	0.010000
6.558375	6.612180	0.010000
6.660381	6.613842	0.010000
6.762387	6.614419	0.010000
6.864392	6.613487	0.010000
6.966398	6.616944	0.010000
7.069404	6.617231	0.010000
7.171410	6.618446	0.010000
7.273416	6.618552	0.010000
7.375422	6.620428	0.010000
7.477427	6.622323	0.010000
7.579433	6.623397	0.010000
7.681439	6.623605	0.010000
7.784445	6.625383	0.010000
7.886451	6.627587	0.010000
7.988457	6.625557	0.010000
8.091463	6.628104	0.010000
8.193469	6.629660	0.010000
8.295475	6.630246	0.010000
8.397480	6.630201	0.010000
8.499486	6.631409	0.010000
8.602492	6.632842	0.010000
8.704498	6.633940	0.010000
8.807504	6.637541	0.010000
8.910510	6.636050	0.010000
9.013515	6.636887	0.010000
9.115521	6.639240	0.010000
9.218527	6.636845	0.010000
9.320533	6.641566	0.010000
9.422539	6.640497	0.010000
9.524545	6.644422	0.010000
9.627551	6.647157	0.010000
9.730556	6.648232	0.010000
9.833562	6.649220	0.010000
9.936568	6.647117	0.010000
10.038574	6.651279	0.010000
10.140580	6.651252	0.010000
10.243586	6.651375	0.010000
10.345592	6.656311	0.010000
10.448597	6.657522	0.010000
10.551603	6.657284	0.010000
10.654609	6.653224	0.010000
10.757615	6.656939	0.010000
10.860621	6.659190	0.010000
10.963627	6.663575	0.010000
11.065633	6.662761	0.010000
11.167639	6.660522	0.010000
11.270645	6.666565	0.010000
11.373651	6.667733	0.010000
11.476656	6.666913	0.010000
11.578662	6.668251	0.010000
11.680668	6.668402	0.010000
11.782674	6.671648	0.010000
11.884680	6.669019	0.010000
11.986685	6.672591	0.010000
12.088691	6.670222	0.010000
12.190697	6.673425	0.010000
12.292703	6.674794	0.010000
12.394709	6.675344	0.010000
12.496715	6.676474	0.010000
12.598721	6.676659	0.010000
12.700727	6.678821	0.010000
12.802732	6.679986	0.010000
12.904738	6.680453	0.010000
13.007744	6.682166	0.010000
13.109750	6.682083	0.010000
13.212756	6.683622	0.010000
13.315762	6.685032	0.010000
13.417767	6.685817	0.010000
13.520773	6.688448	0.010000
13.622779	6.688019	0.010000
13.725785	6.689055	0.010000
13.827791	6.691450	0.010000
13.929797	6.692857	0.010000
14.031803	6.686482	0.010000
14.134808	6.687486	0.010000
14.236814	6.691920	0.010000
14.338820	6.694788	0.010000
14.440826	6.692788	0.010000
14.543832	6.695296	0.010000
14.646838	6.701189	0.010000
14.748844	6.699594	0.010000
14.851850	6.701913	0.010000
14.953855	6.694733	0.010000
15.056861	6.687310	0.010000
Sample : Ni
Pre-Pulse  Slope = 1.074972E-2 +/- 3.121207E-3 Intercept = 7.051191E+0 +/- 7.580363E-3 Residue = 7.597394E-7
Heat Pulse  Slope = 1.048832E-2 +/- 5.872711E-3 Intercept = 7.047677E+0 +/- 4.424263E-2 Residue = 1.620711E-6
Post-Pulse  Slope = 8.823103E-3 +/- 1.476107E-3 Intercept = 7.065400E+0 +/- 1.848839E-2 Residue = 1.025207E-7
Sample Voltage = 7.500000E-2 Sample Voltage Uncertainty = 1.000000E-3
Sample Current = 9.977000E-1 Sample Current Uncertainty = 1.000000E-4
t(s)	T(K)	dT(K)
0.000000	7.056635	0.010000
0.111006	7.064537	0.010000
0.213012	7.058029	0.010000
0.315018	7.064388	0.010000
0.417024	7.054389	0.010000
0.519030	7.053563	0.010000
0.622036	7.060496	0.010000
0.725041	7.076264	0.010000
0.828047	7.065220	0.010000
0.931053	7.051233	0.010000
1.033059	7.054985	0.010000
1.135065	7.052486	0.010000
1.237071	7.054934	0.010000
1.339077	7.067177	0.010000
1.442082	7.070700	0.010000
1.544088	7.075283	0.010000
1.647094	7.081450	0.010000
1.750100	7.065272	0.010000
1.852106	7.078960	0.010000
1.954112	7.067645	0.010000
2.056118	7.085607	0.010000
2.159123	7.060872	0.010000
2.261129	7.090978	0.010000
2.364135	7.067664	0.010000
2.466141	7.078422	0.010000
2.568147	7.070366	0.010000
2.671153	7.064837	0.010000
2.773159	7.078503	0.010000
2.875165	7.071659	0.010000
2.978170	7.096086	0.010000
3.081176	7.071222	0.010000
3.184182	7.089371	0.010000
3.287188	7.094774	0.010000
3.390193	7.086523	0.010000
3.492199	7.093723	0.010000
3.595205	7.093821	0.010000
3.698211	7.094026	0.010000
3.801217	7.091701	0.010000
3.903223	7.092661	0.010000
4.005229	7.087016	0.010000
4.107234	7.094195	0.010000
4.209240	7.089909	0.010000
4.312246	7.093606	0.010000
4.414252	7.094261	0.010000
4.517258	7.094409	0.010000
4.619264	7.095966	0.010000
4.721270	7.096632	0.010000
4.824276	7.094837	0.010000
4.926281	7.098604	0.010000
5.029287	7.100030	0.010000
5.133293	7.099711	0.010000
5.235299	7.096458	0.010000
5.337305	7.096682	0.010000
5.439311	7.106875	0.010000
5.541317	7.098276	0.010000
5.643322	7.097873	0.010000
5.745328	7.108414	0.010000
5.847334	7.109542	0.010000
5.949340	7.106642	0.010000
6.051346	7.119395	0.010000
6.154352	7.112817	0.010000
6.257358	7.118863	0.010000
6.360363	7.126284	0.010000
6.462369	7.129431	0.010000
6.564375	7.113066	0.010000
6.666381	7.132128	0.010000
6.769387	7.097979	0.010000
6.871393	7.113574	0.010000
6.973399	7.135189	0.010000
7.075405	7.099392	0.010000
7.177410	7.125698	0.010000
7.279416	7.112582	0.010000
7.382422	7.113425	0.010000
7.484428	7.114199	0.010000
7.586434	7.111583	0.010000
7.688439	7.146577	0.010000
7.791445	7.134033	0.010000
7.893451	7.122596	0.010000
7.996457	7.117551	0.010000
8.098463	7.115304	0.010000
8.201469	7.149852	0.010000
8.304475	7.152365	0.010000
8.406481	7.129965	0.010000
8.508486	7.128946	0.010000
8.610492	7.130581	0.010000
8.712498	7.160118	0.010000
8.814504	7.144596	0.010000
8.916510	7.151127	0.010000
9.018516	7.139438	0.010000
9.120522	7.143574	0.010000
9.222528	7.130185	0.010000
9.324533	7.159089	0.010000
9.426539	7.142309	0.010000
9.528545	7.142971	0.010000
9.630551	7.159193	0.010000
9.733556	7.139798	0.010000
9.835562	7.146828	0.010000
9.937568	7.155246	0.010000
10.039574	7.141172	0.010000
10.141580	7.139551	0.010000
10.243586	7.163797	0.010000
10.346591	7.148749	0.010000
10.448597	7.159793	0.010000
10.550603	7.159089	0.010000
10.652609	7.151525	0.010000
10.754615	7.156349	0.010000
10.857621	7.172261	0.010000
10.959627	7.165138	0.010000
11.061633	7.157827	0.010000
11.164639	7.157137	0.010000
11.266644	7.160072	0.010000
11.369650	7.166741	0.010000
11.472656	7.171312	0.010000
11.574662	7.165678	0.010000
11.677668	7.168566	0.010000
11.780674	7.174382	0.010000
11.882679	7.172518	0.010000
11.984685	7.175286	0.010000
12.086691	7.171925	0.010000
12.188697	7.173414	0.010000
12.290703	7.175871	0.010000
12.392709	7.176732	0.010000
12.494714	7.178508	0.010000
12.597720	7.180733	0.010000
12.699726	7.175834	0.010000
12.802732	7.175007	0.010000
12.904738	7.184043	0.010000
13.006744	7.177742	0.010000
13.108749	7.178339	0.010000
13.211755	7.186653	0.010000
13.314761	7.181355	0.010000
13.417767	7.184992	0.010000
13.519773	7.183491	0.010000
13.622779	7.183357	0.010000
13.724785	7.184100	0.010000
13.826791	7.185270	0.010000
13.929797	7.187000	0.010000
14.032803	7.186026	0.010000
14.134808	7.187840	0.010000
14.237814	7.188142	0.010000
14.339820	7.187331	0.010000
14.441826	7.195545	0.010000
14.543832	7.192504	0.010000
14.645837	7.193746	0.010000
14.747843	7.197715	0.010000
14.849849	7.192418	0.010000
14.952855	7.194093	0.010000
15.054861	7.195808	0.010000
Sample : Ni
Pre-Pulse  Slope = 5.894914E-3 +/- 3.662173E-3 Intercept = 7.569431E+0 +/- 8.897672E-3 Residue = 1.045720E-6
Heat Pulse  Slope = 1.461202E-2 +/- 5.284462E-3 Intercept = 7.522655E+0 +/- 3.981661E-2 Residue = 1.314123E-6
Post-Pulse  Slope = 9.013102E-3 +/- 4.787446E-3 Intercept = 7.568907E+0 +/- 6.002327E-2 Residue = 1.083959E-6
Sample Voltage = 7.500000E-2 Sample Voltage Uncertainty = 1.000000E-3
Sample Current = 9.976900E-1 Sample Current Uncertainty = 1.000000E-5
t(s)	T(K)	dT(K)
0.000000	7.566695	0.010000
0.112006	7.567883	0.010000
0.214012	7.567964	0.010000
0.317018	7.569392	0.010000
0.419024	7.568585	0.010000
0.521030	7.573007	0.010000
0.624036	7.573233	0.010000
0.726041	7.569724	0.010000
0.829047	7.571390	0.010000
0.931053	7.572999	0.010000
1.033059	7.576243	0.010000
1.135065	7.576955	0.010000
1.237071	7.576358	0.010000
1.339077	7.574272	0.010000
1.442082	7.577376	0.010000
1.545088	7.578978	0.010000
1.648094	7.580731	0.010000
1.751100	7.577970	0.010000
1.854106	7.582618	0.010000
1.957112	7.574306	0.010000
2.059118	7.573290	0.010000
2.161124	7.593470	0.010000
2.263130	7.595809	0.010000
2.365135	7.574339	0.010000
