Sample : Ni
Pre-Pulse  Slope = 8.407258E-3 +/- 2.093157E-4 Intercept = 5.853712E+0 +/- 5.079229E-4 Residue = 3.413946E-9
Heat Pulse  Slope = 8.303624E-2 +/- 8.990373E-4 Intercept = 5.438751E+0 +/- 6.775275E-3 Residue = 3.804583E-8
Post-Pulse  Slope = 5.835659E-3 +/- 1.530698E-3 Intercept = 6.248523E+0 +/- 1.918430E-2 Residue = 1.102090E-7
Sample Voltage = 4.000000E-1 Sample Voltage Uncertainty = 1.000000E-3
Sample Current = 5.020110E+0 Sample Current Uncertainty = 1.000000E-5
t(s)	T(K)	dT(K)
8.195468	6.726967	0.010000
8.297474	6.734375	0.010000
8.400480	6.739708	0.010000
8.502486	6.746972	0.010000
8.604492	6.753364	0.010000
8.706498	6.759344	0.010000
8.809504	6.765914	0.010000
8.912509	6.772329	0.010000
9.015515	6.778744	0.010000
9.117521	6.784344	0.010000
9.220527	6.790573	0.010000
9.323533	6.798241	0.010000
9.426539	6.804072	0.010000
9.528545	6.808675	0.010000
9.631551	6.816574	0.010000
9.733557	6.822857	0.010000
9.836563	6.828514	0.010000
9.938568	6.834663	0.010000
10.040574	6.840963	0.010000
10.142580	6.846694	0.010000
10.244586	6.853848	0.010000
10.347592	6.858074	0.010000
10.450598	6.857917	0.010000
10.552603	6.859613	0.010000
10.655609	6.862367	0.010000
10.758615	6.864044	0.010000
10.861621	6.863684	0.010000
10.963627	6.862974	0.010000
11.065633	6.864234	0.010000
11.168639	6.865052	0.010000
11.270645	6.865193	0.010000
11.372650	6.867321	0.010000
11.474656	6.867290	0.010000
11.576662	6.867230	0.010000
11.679668	6.868081	0.010000
11.782674	6.868075	0.010000
11.884680	6.869398	0.010000
11.986685	6.870104	0.010000
12.088691	6.869759	0.010000
12.190697	6.871996	0.010000
12.292703	6.870026	0.010000
12.394709	6.872285	0.010000
12.496715	6.873395	0.010000
12.598721	6.873937	0.010000
12.700727	6.876139	0.010000
12.802732	6.876364	0.010000
12.905738	6.875573	0.010000
13.007744	6.876868	0.010000
13.109750	6.877706	0.010000
13.212756	6.878468	0.010000
13.315762	6.878272	0.010000
13.417768	6.878414	0.010000
13.520773	6.880560	0.010000
13.623779	6.880732	0.010000
13.726785	6.880596	0.010000
13.829791	6.881466	0.010000
13.931797	6.882952	0.010000
14.034802	6.883364	0.010000
14.136808	6.883675	0.010000
14.238814	6.883522	0.010000
14.340820	6.886210	0.010000
14.442826	6.887126	0.010000
14.544832	6.885992	0.010000
14.647838	6.885762	0.010000
14.749844	6.886729	0.010000
14.852849	6.888062	0.010000
14.955855	6.890393	0.010000
15.058861	6.891336	0.010000
Sample : Ni
Pre-Pulse  Slope = 6.199549E-3 +/- 2.132051E-4 Intercept = 6.999163E+0 +/- 5.179417E-4 Residue = 3.545545E-9
Heat Pulse  Slope = 5.246368E-2 +/- 4.305673E-4 Intercept = 6.755012E+0 +/- 3.242092E-3 Residue = 8.691388E-9
Post-Pulse  Slope = 5.840586E-3 +/- 3.167554E-4 Intercept = 7.233086E+0 +/- 3.966869E-3 Residue = 4.725301E-9
Sample Voltage = 4.000000E-1 Sample Voltage Uncertainty = 1.000000E-3
Sample Current = 5.020120E+0 Sample Current Uncertainty = 1.000000E-5
t(s)	T(K)	dT(K)
0.000000	6.999337	0.010000
0.111006	6.998960	0.010000
0.213012	7.000157	0.010000
0.315018	7.001083	0.010000
0.418024	7.002634	0.010000
0.520030	7.002773	0.010000
0.622035	7.003917	0.010000
0.724041	7.003462	0.010000
0.827047	7.003633	0.010000
0.929053	7.005511	0.010000
1.031059	7.006135	0.010000
1.134065	7.006172	0.010000
1.237071	7.006361	0.010000
1.340076	7.007884	0.010000
1.443082	7.007365	0.010000
1.546088	7.009273	0.010000
1.649094	7.009468	0.010000
1.751100	7.009153	0.010000
1.854106	7.011328	0.010000
1.956111	7.010557	0.010000
2.058117	7.012305	0.010000
2.161123	7.011345	0.010000
2.263129	7.013469	0.010000
2.365135	7.014493	0.010000
2.468141	7.013332	0.010000
2.570147	7.013705	0.010000
2.673152	7.015344	0.010000
2.775158	7.016551	0.010000
2.877164	7.017465	0.010000
2.980170	7.017595	0.010000
3.083176	7.018613	0.010000
3.186182	7.019130	0.010000
3.288188	7.019946	0.010000
3.390193	7.020406	0.010000
3.492199	7.021091	0.010000
3.594205	7.020902	0.010000
3.697211	7.022300	0.010000
3.799217	7.022672	0.010000
3.901223	7.024001	0.010000
4.003229	7.024959	0.010000
4.105235	7.024137	0.010000
4.208241	7.025702	0.010000
4.310246	7.026579	0.010000
4.412252	7.026338	0.010000
4.514258	7.026764	0.010000
4.616264	7.028072	0.010000
4.718269	7.028273	0.010000
4.820275	7.029614	0.010000
4.923281	7.029833	0.010000
5.025287	7.029112	0.010000
5.127293	7.031425	0.010000
5.229299	7.032583	0.010000
5.332305	7.033097	0.010000
5.434310	7.038522	0.010000
5.537316	7.044467	0.010000
5.639322	7.048552	0.010000
5.742328	7.055893	0.010000
5.845334	7.061792	0.010000
5.947340	7.066599	0.010000
6.049346	7.070473	0.010000
6.151351	7.076973	0.010000
6.254357	7.082969	0.010000
6.357363	7.088603	0.010000
6.460369	7.094275	0.010000
6.562375	7.098818	0.010000
6.664381	7.105965	0.010000
6.766387	7.110177	0.010000
6.868392	7.114229	0.010000
6.970398	7.120874	0.010000
7.072404	7.127286	0.010000
7.174410	7.130778	0.010000
7.276416	7.136397	0.010000
7.378422	7.142722	0.010000
7.480428	7.149624	0.010000
7.582434	7.153571	0.010000
7.685439	7.160280	0.010000
7.788445	7.163710	0.010000
7.890451	7.168163	0.010000
7.992457	7.173782	0.010000
8.094463	7.179631	0.010000
8.196468	7.185409	0.010000
8.298474	7.191302	0.010000
8.400480	7.195248	0.010000
8.502486	7.199704	0.010000
8.604492	7.206365	0.010000
8.707498	7.211653	0.010000
8.809504	7.217124	0.010000
8.912509	7.221368	0.010000
9.015515	7.227230	0.010000
9.118521	7.232094	0.010000
9.220527	7.236885	0.010000
9.322533	7.242756	0.010000
9.424539	7.249619	0.010000
9.526545	7.253832	0.010000
9.628551	7.259228	0.010000
9.731556	7.263786	0.010000
9.834562	7.267614	0.010000
9.936568	7.273658	0.010000
10.038574	7.279186	0.010000
10.140580	7.282537	0.010000
10.242586	7.288710	0.010000
10.344591	7.291548	0.010000
10.446597	7.293080	0.010000
10.548603	7.294172	0.010000
10.650609	7.294915	0.010000
10.752615	7.295738	0.010000
10.855621	7.297038	0.010000
10.957626	7.298434	0.010000
11.060632	7.297400	0.010000
11.162638	7.297693	0.010000
11.265644	7.300307	0.010000
11.367650	7.300427	0.010000
11.469656	7.298888	0.010000
11.572662	7.300285	0.010000
11.674667	7.301102	0.010000
11.776673	7.301263	0.010000
11.878679	7.302306	0.010000
11.980685	7.303498	0.010000
12.082691	7.303795	0.010000
12.185697	7.304460	0.010000
12.288702	7.306507	0.010000
12.391708	7.305618	0.010000
12.494714	7.305803	0.010000
12.597720	7.305928	0.010000
12.699726	7.307601	0.010000
12.802732	7.307061	0.010000
12.904738	7.307706	0.010000
13.006743	7.309819	0.010000
13.109750	7.310200	0.010000
13.211755	7.309315	0.010000
13.313761	7.309875	0.010000
13.415767	7.312096	0.010000
13.517773	7.311843	0.010000
13.619779	7.312918	0.010000
13.722785	7.313362	0.010000
13.824790	7.314251	0.010000
13.927796	7.314384	0.010000
14.030802	7.315405	0.010000
14.133808	7.314734	0.010000
14.236814	7.317195	0.010000
14.338820	7.316512	0.010000
14.441826	7.317394	0.010000
14.544832	7.319184	0.010000
14.647838	7.318314	0.010000
14.750844	7.319713	0.010000
14.853849	7.319785	0.010000
14.956855	7.320123	0.010000
15.058861	7.321974	0.010000
Sample : Ni
Pre-Pulse  Slope = 5.521369E-3 +/- 2.258403E-4 Intercept = 7.437669E+0 +/- 5.493677E-4 Residue = 3.994075E-9
Heat Pulse  Slope = 4.440098E-2 +/- 3.422517E-4 Intercept = 7.229653E+0 +/- 2.581966E-3 Residue = 5.525053E-9
Post-Pulse  Slope = 5.316254E-3 +/- 3.924509E-4 Intercept = 7.632121E+0 +/- 4.922568E-3 Residue = 7.266842E-9
Sample Voltage = 4.000000E-1 Sample Voltage Uncertainty = 1.000000E-3
Sample Current = 5.002013E+0 Sample Current Uncertainty = 1.000000E-5
t(s)	T(K)	dT(K)
0.000000	7.437516	0.010000
0.111006	7.438731	0.010000
0.214012	7.438846	0.010000
0.316018	7.439602	0.010000
0.419024	7.439323	0.010000
0.521029	7.439958	0.010000
0.623035	7.441639	0.010000
0.725041	7.440893	0.010000
0.828047	7.442615	0.010000
0.930053	7.443120	0.010000
1.032059	7.442665	0.010000
1.135065	7.442652	0.010000
1.238070	7.444047	0.010000
1.340076	7.444655	0.010000
1.443082	7.445777	0.010000
1.546088	7.446627	0.010000
1.648094	7.447676	0.010000
1.751100	7.447310	0.010000
1.854106	7.448641	0.010000
1.957112	7.449245	0.010000
2.060118	7.449743	0.010000
2.163124	7.449567	0.010000
2.266129	7.450968	0.010000
2.368135	7.451141	0.010000
2.470141	7.451262	0.010000
2.573147	7.451638	0.010000
2.676153	7.452136	0.010000
2.779159	7.453463	0.010000
2.882164	7.453725	0.010000
2.985170	7.454668	0.010000
3.088176	7.454212	0.010000
3.190182	7.454079	0.010000
3.293188	7.455288	0.010000
3.395194	7.455755	0.010000
3.497200	7.458033	0.010000
3.600206	7.458297	0.010000
3.703212	7.458527	0.010000
3.806218	7.457933	0.010000
3.908223	7.458442	0.010000
4.011229	7.459477	0.010000
4.114235	7.460625	0.010000
4.217241	7.460727	0.010000
4.319247	7.461555	0.010000
4.422253	7.462049	0.010000
4.524259	7.462262	0.010000
4.626265	7.463841	0.010000
4.729270	7.463866	0.010000
4.832276	7.464477	0.010000
4.935282	7.464034	0.010000
5.038288	7.465895	0.010000
5.140294	7.466310	0.010000
5.242300	7.466074	0.010000
5.344306	7.467946	0.010000
5.447311	7.471857	0.010000
5.549317	7.475630	0.010000
5.651323	7.479885	0.010000
5.753329	7.485233	0.010000
5.855335	7.488263	0.010000
5.958341	7.493580	0.010000
6.061347	7.497735	0.010000
6.163352	7.501663	0.010000
6.265358	7.508568	0.010000
6.367364	7.512486	0.010000
6.470370	7.517258	0.010000
6.572376	7.521321	0.010000
6.674381	7.525945	0.010000
6.777387	7.531004	0.010000
6.880394	7.535134	0.010000
6.982399	7.540579	0.010000
7.084405	7.544687	0.010000
7.187411	7.547770	0.010000
7.289417	7.553908	0.010000
7.392423	7.557373	0.010000
7.495429	7.563178	0.010000
7.598434	7.567631	0.010000
7.700440	7.571853	0.010000
7.802446	7.575325	0.010000
7.904452	7.581776	0.010000
8.007458	7.585577	0.010000
8.109464	7.591096	0.010000
8.212470	7.594661	0.010000
8.315475	7.599091	0.010000
8.417481	7.602128	0.010000
8.520487	7.606901	0.010000
8.622493	7.611850	0.010000
8.725499	7.616761	0.010000
8.828505	7.621927	0.010000
8.930511	7.625717	0.010000
9.032516	7.630557	0.010000
9.134522	7.633276	0.010000
9.236528	7.639477	0.010000
9.339534	7.643517	0.010000
9.442540	7.646832	0.010000
9.544546	7.651895	0.010000
9.647552	7.655519	0.010000
9.749557	7.660713	0.010000
9.851563	7.665326	0.010000
9.953569	7.670468	0.010000
10.056575	7.673301	0.010000
10.159581	7.678589	0.010000
10.262587	7.681323	0.010000
10.364593	7.685777	0.010000
10.466599	7.687696	0.010000
10.568604	7.687501	0.010000
10.671610	7.688496	0.010000
10.773616	7.688442	0.010000
10.875622	7.690997	0.010000
10.978628	7.689629	0.010000
11.080634	7.690860	0.010000
11.182640	7.691321	0.010000
11.284645	7.691144	0.010000
11.386651	7.693936	0.010000
11.488657	7.694346	0.010000
11.590662	7.694566	0.010000
11.692668	7.694090	0.010000
11.795674	7.694874	0.010000
11.897680	7.694469	0.010000
12.000686	7.694811	0.010000
12.102692	7.697814	0.010000
12.204698	7.695900	0.010000
12.306704	7.697861	0.010000
12.409709	7.697200	0.010000
12.512715	7.698031	0.010000
12.615721	7.700106	0.010000
12.718727	7.700517	0.010000
12.821733	7.700361	0.010000
12.924739	7.700368	0.010000
13.027745	7.700674	0.010000
13.130751	7.700316	0.010000
13.232757	7.703531	0.010000
13.334763	7.702482	0.010000
13.436768	7.703914	0.010000
13.538774	7.705786	0.010000
13.640780	7.704907	0.010000
13.743786	7.705032	0.010000
13.846792	7.706076	0.010000
13.948798	7.705484	0.010000
14.050803	7.705428	0.010000
14.152809	7.708415	0.010000
14.254815	7.708080	0.010000
14.357821	7.709294	0.010000
14.460827	7.708884	0.010000
14.562833	7.708583	0.010000
14.664838	7.709642	0.010000
14.767844	7.709794	0.010000
14.869850	7.711084	0.010000
14.972856	7.709539	0.010000
15.074862	7.712170	0.010000
Sample : Ni
Pre-Pulse  Slope = 4.456498E-3 +/- 2.143857E-4 Intercept = 8.061494E+0 +/- 5.210273E-4 Residue = 3.582558E-9
Heat Pulse  Slope = 3.510116E-2 +/- 2.000234E-4 Intercept = 7.898411E+0 +/- 1.507374E-3 Residue = 1.885175E-9
Post-Pulse  Slope = 4.382518E-3 +/- 2.327356E-4 Intercept = 8.215778E+0 +/- 2.917362E-3 Residue = 2.558174E-9
Sample Voltage = 4.000000E-1 Sample Voltage Uncertainty = 1.000000E-3
Sample Current = 5.020120E+0 Sample Current Uncertainty = 1.000000E-5
t(s)	T(K)	dT(K)
0.000000	8.060094	0.010000
0.111007	8.062947	0.010000
0.214013	8.061278	0.010000
0.317019	8.062272	0.010000
0.420024	8.063880	0.010000
0.522030	8.063450	0.010000
0.625036	8.063569	0.010000
0.727042	8.064890	0.010000
0.829048	8.065226	0.010000
0.932054	8.065856	0.010000
1.034060	8.064915	0.010000
1.137065	8.066919	0.010000
1.239071	8.068228	0.010000
1.341077	8.067619	0.010000
1.444083	8.067844	0.010000
1.546089	8.067930	0.010000
1.648094	8.069057	0.010000
1.751101	8.069003	0.010000
1.854106	8.070231	0.010000
1.957112	8.070369	0.010000
2.060118	8.071090	0.010000
2.162124	8.071923	0.010000
2.264130	8.071885	0.010000
2.366136	8.072280	0.010000
2.468141	8.072506	0.010000
2.570147	8.072027	0.010000
2.673153	8.074252	0.010000
2.776159	8.072722	0.010000
2.879165	8.073945	0.010000
2.981171	8.074625	0.010000
3.084177	8.075429	0.010000
3.186182	8.076735	0.010000
3.288188	8.075263	0.010000
3.391194	8.076354	0.010000
3.494200	8.077857	0.010000
3.596206	8.076463	0.010000
3.698212	8.078343	0.010000
3.801218	8.078406	0.010000
3.903224	8.078853	0.010000
4.005229	8.079198	0.010000
4.108235	8.079755	0.010000
4.211241	8.081141	0.010000
4.314247	8.081161	0.010000
